latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
2020-04-24,1958,12,dakota cres,2,gl,9,0,0,0,0,0,0,9,0,12 DAKOTA CRESCENT SINGAPORE 390012,12,DAKOTA CRESCENT,NIL,12 DAKOTA CRESCENT SINGAPORE 390012,390012,33721.57422,32011.57967,1.3057753429999999,103.8847296,103.8847296
2020-04-24,1958,20,dakota cres,7,gl,56,0,0,0,0,0,0,56,0,20 DAKOTA CRESCENT SINGAPORE 390020,20,DAKOTA CRESCENT,NIL,20 DAKOTA CRESCENT SINGAPORE 390020,390020,33755.15982,32104.22131,1.306613155,103.8850314,103.8850314
2020-04-24,1958,14,old airport rd,7,gl,56,0,0,0,0,0,0,56,0,14 OLD AIRPORT ROAD SINGAPORE 390014,14,OLD AIRPORT ROAD,NIL,14 OLD AIRPORT ROAD SINGAPORE 390014,390014,33704.08713,32129.1535,1.306838642,103.8845725,103.8845725
2020-04-24,1958,13,old airport rd,3,gl,14,0,0,0,0,0,0,14,0,13 OLD AIRPORT ROAD SINGAPORE 390013,13,OLD AIRPORT ROAD,NIL,13 OLD AIRPORT ROAD SINGAPORE 390013,390013,33593.961339999994,32155.19335,1.307074157,103.883583,103.883583
2020-04-24,1958,18,dakota cres,7,gl,56,0,0,0,0,0,0,56,0,18 DAKOTA CRESCENT SINGAPORE 390018,18,DAKOTA CRESCENT,NIL,18 DAKOTA CRESCENT SINGAPORE 390018,390018,33773.82796,32032.95328,1.305968629,103.8851991,103.8851991
2020-04-24,1958,16,dakota cres,3,gl,12,0,0,0,0,0,0,12,0,16 DAKOTA CRESCENT SINGAPORE 390016,16,DAKOTA CRESCENT,NIL,16 DAKOTA CRESCENT SINGAPORE 390016,390016,33739.30063,32055.30985,1.30617082,103.8848889,103.8848889
2020-04-24,1959,53,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0,HDB-KALLANG/WHAMPOA,53,JALAN MA'MOR,HDB-KALLANG/WHAMPOA,53 JALAN MA'MOR HDB-KALLANG/WHAMPOA SINGAPORE 320053,320053,30535.0457,34499.820680000004,1.328278539,103.85609740000001,103.85609740000001
2020-04-24,1959,58,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0,HDB-KALLANG/WHAMPOA,58,JALAN MA'MOR,HDB-KALLANG/WHAMPOA,58 JALAN MA'MOR HDB-KALLANG/WHAMPOA SINGAPORE 320058,320058,30654.10736,34508.90192,1.3283606559999999,103.8571672,103.8571672
2020-04-24,1959,50,stirling rd,2,qt,8,0,0,8,0,0,0,0,0,HDB-QUEENSTOWN,50,STIRLING ROAD,HDB-QUEENSTOWN,50 STIRLING ROAD HDB-QUEENSTOWN SINGAPORE 141050,141050,24713.86924,31056.78883,1.2971409059999999,103.8037912,103.8037912
2020-04-24,1959,59,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0,HDB-KALLANG/WHAMPOA,59,JALAN MA'MOR,HDB-KALLANG/WHAMPOA,59 JALAN MA'MOR HDB-KALLANG/WHAMPOA SINGAPORE 320059,320059,30649.487830000002,34481.13959,1.3281095840000001,103.8571257,103.8571257
